0,1,2,0,1;  1,1,1,1,2;  3855.6;  0.77
0,0,2,0,0;  1,0,1,1,1;  3866.0;  0.47
0,1,2,0,1;  1,1,1,1,0;  3866.0;  0.47
0,2,1,1,3;  1,2,0,0,2;  3872.2;  1.18
0,1,2,2,1;  1,1,1,1,1;  3872.2;  1.18
0,1,3,3,3;  1,1,2,2,2;  3876.0;  1.13
0,0,3,3,3;  1,0,2,2,2;  3878.6;  1.22
0,1,2,2,3;  1,1,1,1,2;  3878.6;  1.22
0,0,2,2,2;  1,0,1,1,1;  3884.9;  2.80
0,1,1,1,2;  1,1,0,0,1;  3884.9;  2.80
0,1,1,1,1;  1,1,0,0,1;  3891.3;  1.49
0,0,1,1,1;  1,0,0,0,0;  3891.3;  1.49
0,3,0,0,3;  1,3,1,1,4;  4223.3;  0.28
0,0,1,1,1;  1,2,0,0,2;  4223.3;  0.28
0,3,0,0,3;  1,3,1,1,2;  4226.2;  0.21
0,2,0,0,2;  1,2,1,1,2;  4233.1;  0.22
0,2,0,0,2;  1,2,1,1,3;  4239.8;  0.64
0,1,0,0,1;  1,1,1,1,1;  4244.4;  2.54
0,2,0,0,2;  1,2,1,1,1;  4244.4;  2.54
0,1,0,0,1;  1,1,1,1,2;  4250.7;  7.83
0,2,1,1,2;  1,2,2,2,3;  4250.7;  7.83
0,0,0,0,0;  1,0,1,1,1;  4255.6;  4.29
0,1,1,1,2;  1,1,2,2,2;  4255.6;  4.29
0,2,1,1,1;  1,2,2,2,0;  4261.3;  4.11
0,1,0,0,1;  1,1,1,1,0;  4261.3;  4.11
0,1,1,1,2;  1,1,2,2,3;  4267.1;  4.26
0,0,1,1,1;  1,0,2,2,2;  4272.1;  3.70
0,1,1,1,1;  1,1,2,2,1;  4272.1;  3.70
0,1,2,2,2;  1,1,3,3,3;  4277.1;  0.82
0,1,2,2,3;  1,1,3,3,4;  4281.2;  4.33
0,0,2,2,2;  1,0,3,3,3;  4286.5;  0.89
0,1,1,1,2;  1,1,2,0,1;  4290.2;  2.72
0,0,1,1,1;  1,0,2,0,0;  4290.2;  2.72
0,1,3,3,4;  1,1,4,4,3;  4294.8;  1.08
0,1,3,3,4;  1,1,4,4,5;  4294.8;  1.08
0,1,2,2,1;  1,1,3,1,1;  4300.0;  0.30
0,1,2,2,2;  1,1,3,1,1;  4306.7;  0.92
0,1,2,2,1;  1,1,3,1,2;  4316.4;  1.37
0,1,2,0,1;  1,3,1,1,2;  4407.4;  0.05
0,1,2,2,3;  1,3,1,1,4;  4426.8;  0.35
0,1,1,1,2;  1,3,0,0,3;  4431.9;  0.44
0,0,0,0,0;  1,2,1,1,1;  4592.0;  0.90
0,0,1,1,1;  1,2,2,2,1;  4608.9;  0.37
0,0,1,1,1;  1,2,2,0,2;  4624.3;  0.27
0,0,2,2,2;  1,2,3,3,1;  4630.0;  0.10
0,1,0,0,1;  1,3,1,1,2;  4802.6;  1.80
0,1,1,1,2;  1,3,2,2,2;  4814.8;  0.39
0,1,1,1,1;  1,3,2,2,2;  4821.6;  0.49
0,1,1,1,1;  1,3,2,2,1;  4829.7;  0.26
0,1,1,1,2;  1,3,2,0,3;  4836.2;  0.55
0,1,2,2,2;  1,3,3,3,1;  4846.4;  0.23
0,1,2,2,1;  1,3,3,1,2;  4864.5;  0.17
